song_id,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,contains_hyphen,contains_feat,is_derived,contains_parentheses,language,num_syllables,avg_chars_per_word,num_uppercase_words,num_lowercase_words,sentiment,num_syllables_missing
8024,49,206130,0.225,0.623,0.912,0.0,6,0.0639,-2.427,0,0.342,135.09799999999998,1,0.664,0,1,0,1,1,2.0,5.0,3,-1,0.2857142857142857,0
2972,45,363538,0.0283,0.593,0.693,0.084,4,0.172,-8.576,1,0.0305,150.489,1,0.7490000000000001,0,0,0,1,1,3.0,4.333333333333333,4,-1,-0.0666666666666666,0
10856,31,232234,0.943,0.506,0.124,0.0,0,0.081,-12.345999999999998,1,0.0719,84.046,1,0.301,0,0,0,0,1,4.0,3.75,3,1,0.0,0
11276,29,192235,0.168,0.7340000000000001,0.5,0.0218,11,0.0592,-13.262,0,0.0619,104.471,1,0.7929999999999999,0,0,0,0,0,3.496065437978878,5.0,1,0,0.0,1
3612,42,230012,0.0798,0.823,0.192,0.815,10,0.0721,-12.22,1,0.356,100.989,1,0.889,0,0,0,0,1,3.0,6.5,2,0,0.0,0
1355,66,165309,0.982,0.308,0.0204,0.000448,5,0.107,-18.123,0,0.0377,147.369,0,0.128,0,0,0,0,0,4.0,3.75,4,0,0.0,0
7944,0,229714,0.00963,0.828,0.628,0.949,8,0.101,-5.591,0,0.0432,119.977,1,0.144,0,0,0,0,0,3.0,4.0,2,0,-0.625,0
16594,23,228333,0.4,0.604,0.7879999999999999,0.0,0,0.121,-3.855,1,0.0353,171.25400000000005,1,0.936,0,0,0,0,0,3.496065437978878,4.0,3,0,0.0,1
11823,67,162266,0.025,0.943,0.461,0.0,5,0.0846,-6.066,1,0.115,130.002,1,0.149,0,0,0,0,0,3.0,11.0,1,0,0.5,0
15221,49,329413,0.774,0.614,0.601,0.841,2,0.117,-6.392,1,0.0386,122.999,1,0.514,0,0,0,0,1,4.0,12.0,1,0,0.0,0
3628,60,230546,0.187,0.8009999999999999,0.41,0.0258,7,0.0993,-12.359000000000002,1,0.0322,125.133,1,0.7190000000000001,0,0,0,0,1,8.0,4.25,8,0,0.4666666666666667,0
